Ensemble_ID,Intensity,Intensity_Rank,Density,Density_Rank,Energy,Energy_Rank,Exp_Level,Exp_Rank,Avg_Count,Count_Rank,Avg_TPM,TPM_Rank
ENSMUSG00000050957,127.97878128400436,12342.0,0.000220022,15474.0,0.0281582,15541.0,5196.653281883637,11738.0,6.5,5911.0,1.331956,4525.0
ENSMUSG00000019528,138.09612684913944,6435.0,0.00626567,7700.0,0.865265,7533.0,5993.9719975671405,8959.0,543.9334375,811.0,36.065675,731.0
ENSMUSG00000031255,109.91607334632673,16888.0,0.00068009,13568.0,0.0747526,13949.0,2761.653501637143,16640.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000025026,126.91782093027179,12875.0,0.0227079,3965.0,2.88202,4121.0,5574.106518638391,10504.0,164.92168485231795,1791.0,3.8931477922363427,2907.0
ENSMUSG00000075705,131.14532141066786,10647.0,0.0166857,4840.0,2.18825,4904.0,6368.79319091164,7508.0,8.685586875,5428.0,0.7956095624999999,5531.0
ENSMUSG00000014905,116.14356509986484,15950.0,0.00238544,10567.0,0.277054,10869.0,2881.0023916072455,16482.0,0.5688238125,10467.0,0.26348543750000003,7984.0
ENSMUSG00000001323,154.93123042241155,1420.0,0.0796339,813.0,12.3377,779.0,9302.790677156734,1147.0,171.81061875,1758.0,4.776800812500001,2627.0
ENSMUSG00000024571,125.24172663159877,13595.0,0.00862488,6774.0,1.08019,6913.0,4826.053475166583,12739.0,7.8588425,5585.0,4.79756375,2617.0
ENSMUSG00000005374,130.60822260839532,10958.0,0.000196976,15617.0,0.0257267,15661.0,2232.729552037867,17115.0,1.5206775037670626,8719.0,0.23936875059652812,8205.0
ENSMUSG00000014554,126.28158953874363,13149.0,0.00887967,6691.0,1.12134,6805.0,5966.498679251619,9052.0,1.42860625,8854.0,0.3577180625,7298.0
ENSMUSG00000025362,146.1652740762083,3145.0,0.0858394,663.0,12.5468,753.0,8215.463327776866,2353.0,0.3612725,11174.0,0.05919,10979.0
ENSMUSG00000028071,124.71692035778294,13795.0,0.00844802,6834.0,1.05361,6975.0,6130.823166421956,8419.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000017922,149.06608586586214,2413.0,0.000216113,15497.0,0.0322152,15357.0,6638.7782605522525,6532.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000022433,133.1814519082851,9405.0,0.0325312,2958.0,4.33255,3039.0,6246.565639646353,7970.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000023110,131.57103504186836,10381.0,0.0111868,6028.0,1.47185,6048.0,5601.151512000284,10407.0,1.0071025,9510.0,0.6813518749999999,5894.0
ENSMUSG00000034917,130.63370079609265,10939.0,0.012124,5797.0,1.58381,5839.0,6995.632819377283,5285.0,0.0625,12972.0,0.02369325,12080.0
ENSMUSG00000025792,119.47724542826158,15277.0,0.035533,2735.0,4.24538,3097.0,4203.126059285824,14120.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000026775,141.87853948062107,4531.0,0.00989213,6400.0,1.40348,6197.0,9159.600221177516,1265.0,0.637610625,10284.0,0.1467868125,9282.0
ENSMUSG00000066359,125.26840816162162,13583.0,0.000462405,14320.0,0.0579248,14428.0,3995.323024531102,14532.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000021213,117.55210467564397,15680.0,0.00374782,9289.0,0.440564,9583.0,5222.92704510126,11653.0,0.5046843750000001,10646.0,0.42040750000000005,6958.0
ENSMUSG00000056972,141.27619140985857,4782.0,0.032054,2998.0,4.52846,2918.0,6902.622313345868,5613.0,103.0,2216.0,2.3165020187499996,3627.0
ENSMUSG00000021010,141.95460605469384,4500.0,0.00221223,10776.0,0.314037,10520.0,5586.371687747684,10467.0,20.019123750000002,4182.0,0.7191499875,5758.0
ENSMUSG00000059013,135.05678306110764,8256.0,0.0291597,3258.0,3.93822,3287.0,7384.619822619929,4108.0,0.441079375,10852.0,0.11082349999999999,9862.0
ENSMUSG00000025495,135.82176634427034,7781.0,0.0335242,2872.0,4.55332,2909.0,7804.823732693984,3094.0,17.36547375,4370.0,7.989730625000001,1987.0
ENSMUSG00000021768,135.92007692939774,7713.0,0.00042895,14448.0,0.0583029,14413.0,5187.655761173179,11764.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000058183,112.67752418892336,16544.0,0.0073824,7208.0,0.83183,7637.0,3155.426190797062,16045.0,26.606756249999997,3774.0,0.9577341249999999,5157.0
ENSMUSG00000056536,128.68721023460103,11991.0,0.0011047,12504.0,0.142162,12540.0,5794.8146122835615,9698.0,15.079536245806874,4560.0,0.255281454263675,8046.0
ENSMUSG00000022889,117.1187976471303,15773.0,0.0305839,3112.0,3.58195,3560.0,3381.9964637678754,15636.0,12.398511875,4859.0,3.682828125,2989.0
ENSMUSG00000033845,130.72765366971575,10882.0,0.00233663,10637.0,0.305462,10597.0,6413.005998805031,7348.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000030879,135.822908677369,7780.0,0.0208035,4217.0,2.82559,4174.0,6642.711396891226,6520.0,101.25386875000001,2242.0,12.410124374999997,1529.0
ENSMUSG00000002767,118.36427943630396,15532.0,0.00641431,7635.0,0.759225,7929.0,3774.6869006902325,14909.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000032594,137.83913069374748,6575.0,0.0540956,1663.0,7.4565,1754.0,8882.69139886861,1499.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000025396,114.82447960067739,16184.0,0.000442897,14399.0,0.0508554,14663.0,3323.299777105013,15748.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000054115,165.4969362169608,548.0,0.0065852,7569.0,1.08983,6881.0,8852.79034397533,1531.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000010914,137.7691023152954,6627.0,0.0146114,5246.0,2.013,5159.0,6019.989529936575,8842.0,10.135206252586912,5170.0,1.9044461880772598,3925.0
ENSMUSG00000035722,136.61673119003535,7304.0,0.00991542,6387.0,1.35461,6286.0,5431.220185623048,10996.0,51.86963469812499,2959.0,0.8657674609249999,5360.0
ENSMUSG00000020620,130.25826899808334,11151.0,0.00141165,11943.0,0.18388,11919.0,6443.144540159967,7234.0,24.40442125,3907.0,0.5377364250000001,6395.0
ENSMUSG00000029299,157.333583788033,1158.0,0.00600727,7828.0,0.945149,7269.0,8386.037489327213,2097.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000003234,137.10105056392112,7026.0,0.0550072,1621.0,7.54156,1729.0,6320.900434995399,7685.0,77.68156875,2511.0,11.916223124999998,1564.0
ENSMUSG00000028953,133.98118543240386,8945.0,0.0514341,1778.0,6.89121,1921.0,4989.431123459942,12309.0,2835.553125,133.0,117.21636874999999,271.0
ENSMUSG00000040505,126.57812134876876,13005.0,0.000726003,13436.0,0.0918961,13515.0,6343.986406985935,7601.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000024130,142.40052083796252,4315.0,0.0536242,1680.0,7.63613,1703.0,8466.710391485298,1985.0,53.39611636450562,2920.0,0.9176877892956188,5233.0
