id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
462463797,100146096,674,69793.8,33.3996,1873180,3796.48,0.000478547,0.0543957,0.0543885,0.0904796,11435
140201025,100082360,674,34969,203.887,1783350,32577.3,0.0058305,0.931606,0,0,11438
144675727,100101403,674,33472.8,3.10001,849142,446.131,9.26129e-05,0.0133282,0,0,11438
399625468,1173,674,69938,329.816,1242900,37630.9,0.00471584,0.538061,0.538061,0.312129,11438
399629580,1174,674,34969,556.305,902318,65708.7,0.0159085,1.87905,0,0,11438
457634860,77454722,674,11518.7,135.89,301700,17620.7,0.0117974,1.52975,0,0,11438
139874967,100081908,674,34968.9,26.9697,1169480,3929.24,0.000771249,0.112364,0,0,11440
143767021,100084607,674,32183.7,4.61906,1306050,671.819,0.000143522,0.0208745,0,0,11440
454169861,75551461,674,69938,211.506,1473280,26187.5,0.0030242,0.374438,0.374438,0.49548,11440
454219777,75551481,674,34969,141.127,1086550,16744.7,0.00403578,0.478845,0,0,11440
454298252,75651213,674,69938,54.3904,1672820,5652.13,0.000777694,0.0808163,0.0808163,0.678537,11440
140584678,100082805,674,7415.68,4.83983,272424,720.933,0.000652648,0.0972175,0,0,11441
144291233,100084944,674,34756.4,0.175711,1286370,28.4118,5.0555e-06,0.000817456,0,0,11441
416617328,69237107,674,42820.1,773.084,2403730,109327,0.0180542,2.55318,0,0,11441
449203626,74511738,674,39943.7,234.901,1590490,33007.4,0.00588081,0.826349,0.826273,0.0293105,11441
455376161,75888752,674,69783.6,186.73,2044580,20673.3,0.00267584,0.296249,0.296258,0.41062,11443
457952156,77620387,674,19017.1,45.5208,495576,6532.81,0.00239367,0.343522,0,0,11443
140503452,100082923,674,102475,306.811,4311220,44263.1,0.00299402,0.431942,0.428367,0.386639,11444
144119649,100085037,674,34882.1,1.18946,1330120,202.74,3.40994e-05,0.00581213,0,0,11444
189278370,79122801,674,34969,29.5229,585325,3011.81,0.00084426,0.0861281,0,0,11444
189300867,79122777,674,34969,183.365,1049550,21139.9,0.00524365,0.604532,0,0,11444
189304582,79122789,674,34969,242.875,1308660,29186.1,0.00694545,0.834627,0,0,11444
