id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
420252945,69549669,691,734237,9607.11,34270500,1231200,0.0130845,1.67684,1.67681,0.380185,11431
406674065,68117992,691,1084040,416.306,38679700,52611.7,0.000384033,0.048533,0.048533,1.8555,11432
428615848,70528186,691,631748,13.9262,20675400,2074.39,2.2044e-05,0.00328356,0.00347046,2.82621,11433
437423114,71495209,691,727899,2276.76,36319300,322359,0.00312785,0.442863,0.438985,1.75371,11434
454169557,75551465,691,1263020,63730.3,49482300,9299250,0.0504585,7.36268,7.40387,0.518496,11435
462463822,100146096,691,811881,348.287,19125100,41095.5,0.000428988,0.0506177,0.0577939,1.23155,11435
140201074,100082360,691,594473,7564.78,24809900,1182460,0.0127252,1.98908,1.98908,0.548669,11438
144675760,100101403,691,382597,1552.59,10394900,228837,0.00405804,0.598115,0.655173,0.69603,11438
399625641,1173,691,1293850,15974.8,27365900,1895700,0.0123467,1.46516,1.46516,0.509447,11438
399629748,1174,691,839256,24526.9,24582300,3160360,0.0292246,3.76567,3.76567,0.56136,11438
457635031,77454722,691,420066,8808.97,10878900,1161140,0.0209704,2.76418,2.9282,0.354189,11438
139874980,100081908,691,594406,518.555,11785600,85521.5,0.000872391,0.143877,0.143899,1.73853,11440
143767034,100084607,691,388089,80.9033,9687440,12390.5,0.000208466,0.0319269,0.0446484,1.10124,11440
454170062,75551461,691,1363000,7414.01,31996700,1124370,0.00543949,0.824924,0.826059,1.51089,11440
454219915,75551481,691,734318,2142.94,19072800,259308,0.00291828,0.353128,0.353138,0.496224,11440
454298435,75651213,691,1363790,3297.59,34182700,473037,0.00241796,0.346855,0.346855,1.76159,11440
140584704,100082805,691,456921,383.77,15477100,58769.4,0.000839905,0.128621,0.12656,0.860175,11441
144291277,100084944,691,469317,31.8605,13149200,4605.05,6.78869e-05,0.00981224,0.0068325,1.37711,11441
416617466,69237107,691,943164,19078,55615700,2704410,0.0202276,2.86738,2.89096,0.550844,11441
449203827,74511738,691,991196,7106.94,41409500,1058120,0.00717006,1.06751,1.18038,0.828865,11441
455376397,75888752,691,1209640,3074.8,32303600,337682,0.00254191,0.279159,0.274074,0.37986,11443
457952311,77620387,691,590544,637.842,14207100,80672.1,0.00108009,0.136607,0.128927,1.41099,11443
140503465,100082923,691,1002840,7083.19,36223800,1025160,0.00706316,1.02226,1.01574,0.740182,11444
144119691,100085037,691,477618,28.9029,14374600,4642.65,6.05146e-05,0.00972041,0.0103569,0.879694,11444
189278404,79122801,691,839256,1339.63,19605100,143297,0.00159622,0.170743,0.170743,0.433077,11444
189300891,79122777,691,1258880,5970.12,29476700,619834,0.00474239,0.492368,0.492368,0.578615,11444
189304616,79122789,691,699380,2457.09,15094300,269544,0.00351323,0.385404,0.385404,0.689332,11444
259742607,79122759,691,699373,1239.38,13949700,119874,0.00177213,0.171402,0.171401,0.456788,11444
259754315,79122633,691,699380,1277.81,14047300,124593,0.00182705,0.178148,0.178148,0.610104,11444
261825816,79787945,691,1433730,23503.7,51381400,2937810,0.0163934,2.04907,2.04907,0.554723,11444
261832048,79797920,691,1573600,30839.4,46278000,3734770,0.019598,2.37338,2.37338,0.500408,11444
261832869,79797918,691,1573600,30486.7,53561300,3758190,0.0193738,2.38827,2.38827,0.38012,11444
261844354,79797914,691,1573600,24267.8,52622500,2981610,0.0154218,1.89476,1.89476,0.310208,11444
