id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
406673981,68117992,682,594473,164.272,21785700,19777.5,0.000276332,0.0332689,0.0332689,1.35017,11432
428615735,70528186,682,407571,7.59704,13415900,1224.41,1.86398e-05,0.00300418,0.00326707,1.81529,11433
437422978,71495209,682,477044,4679.91,30021800,696561,0.00981024,1.46016,1.42312,0.811668,11434
454169429,75551465,682,930914,55610.8,37365500,8386600,0.0597379,9.00899,9.01921,0.565611,11435
462463808,100146096,682,391636,78.5932,8875960,9249.19,0.000200679,0.0236168,0.0246544,0.535776,11435
140201030,100082360,682,664411,8893.33,25350500,1383900,0.0133853,2.08289,2.08289,0.362212,11438
144675735,100101403,682,438826,1819.93,12675300,266048,0.00414726,0.606272,0.663768,0.394428,11438
399625530,1173,682,944163,11056.7,21467300,1300010,0.0117106,1.37689,1.37689,0.439845,11438
399629665,1174,682,489566,17471.3,16562700,2183000,0.0356873,4.45905,4.45905,0.268093,11438
457634946,77454722,682,383801,10705.7,11195700,1376380,0.0278939,3.58618,3.53379,0.206004,11438
139874972,100081908,682,656082,590.13,10807000,103823,0.000899476,0.158247,0.158171,2.98771,11440
143767026,100084607,682,457533,74.5268,10198400,10715.8,0.000162888,0.0234208,0.0262175,0.68268,11440
454169989,75551461,682,1012520,2451.31,22013600,348735,0.002421,0.344423,0.346423,1.69973,11440
454219839,75551481,682,489566,777.754,12144100,89019.4,0.00158866,0.181833,0.181833,0.815817,11440
454298326,75651213,682,1014100,3048.02,25673400,469074,0.00300564,0.462551,0.462551,2.50021,11440
140584688,100082805,682,488329,446.107,17601100,67173.8,0.000913537,0.137558,0.141544,0.675392,11441
144291250,100084944,682,557674,24.6665,15908900,3384.74,4.42311e-05,0.00606938,0.00655227,1.68816,11441
416617391,69237107,682,559436,11132,35671100,1562780,0.0198986,2.7935,2.80679,0.397069,11441
449203709,74511738,682,692171,5638.06,30558100,839192,0.00814547,1.21241,1.22809,0.70894,11441
455376262,75888752,682,960028,2120.99,25651700,232861,0.0022093,0.242556,0.238026,0.440236,11443
457952233,77620387,682,450400,239.858,11578100,26076.3,0.000532546,0.0578959,0.0581974,0.527438,11443
140503457,100082923,682,838855,7744.55,34522400,1156030,0.00923229,1.3781,1.37779,0.670039,11444
144119664,100085037,682,507547,8.19806,16466400,1311.06,1.61523e-05,0.00258313,0.0029729,1.58404,11444
189278384,79122801,682,664411,1255.41,15812400,136897,0.00188951,0.206043,0.206043,0.436896,11444
189300876,79122777,682,839256,3039.7,19061600,300426,0.0036219,0.357967,0.357967,0.569868,11444
189304597,79122789,682,664411,1510.77,12440900,155664,0.00227386,0.234289,0.234289,0.507072,11444
259742568,79122759,682,664410,862.478,13319900,84040.3,0.00129811,0.126489,0.126489,0.442669,11444
259754291,79122633,682,664411,997.541,12862700,95763.5,0.00150139,0.144133,0.144133,0.374538,11444
261825803,79787945,682,979132,19866.2,36747400,2492690,0.0202896,2.54582,2.54582,0.357378,11444
261832022,79797920,682,1328820,21235.9,37832200,2475000,0.015981,1.86255,1.86255,0.386599,11444
261832760,79797918,682,1328820,24611,46547700,3004180,0.0185209,2.26078,2.26078,0.248382,11444
261844333,79797914,682,1328820,18329.7,41993900,2195440,0.0137939,1.65217,1.65217,0.299258,11444
261844334,79797916,682,979132,9381.71,30085400,1180460,0.00958166,1.20562,1.20562,0.489957,11444
262131219,80212624,682,664411,7451.21,18042800,852933,0.0112148,1.28374,1.28374,0.145013,11444
262156007,80212622,682,1328820,16571.7,33261400,1935980,0.0124709,1.45691,1.45691,0.480048,11444
401473877,2098,682,489566,9353.82,33224100,1210630,0.0191063,2.47287,2.47287,0.292074,11444
401614096,2097,682,943306,11896.6,56099600,1552790,0.0126116,1.64611,1.64641,0.461474,11444
461123734,81671342,682,329828,6516.1,11415500,378242,0.0197561,1.14678,0.868287,0.313964,11444
461202230,81790724,682,489566,6435.53,16918200,763218,0.0131454,1.55897,1.55897,0.217473,11444
429521280,70593133,682,353523,1273.69,16737500,172213,0.00360285,0.487133,0.376031,0.642203,11447
452717872,74988680,682,1014100,6593.55,26127100,701543,0.00650186,0.691788,0.691788,1.09996,11447
450420605,74634819,682,489566,210.571,21954900,41296.2,0.000430118,0.0843528,0.0843528,1.64248,11448
455384144,75888738,682,1014100,3091.49,28488100,343056,0.0030485,0.338285,0.338285,0.679537,11448
429519916,70593134,682,311831,1149.1,12983600,159204,0.003685,0.510546,0.505264,0.582256,11449
454173148,75551466,682,763649,1345.6,24178800,159181,0.00176207,0.208448,0.238704,0.680114,11449
409799143,68545033,682,314168,11941.4,14286100,1639480,0.0380095,5.21848,4.86998,0.346183,11450
418882683,69514678,682,279140,3.07764,9170230,412.268,1.10254e-05,0.00147692,0.0014444,2.49213,11451
398017567,60,682,1014100,112564,43448400,15750000,0.110999,15.531,15.531,0.163875,11459
398018908,61,682,489566,66333.9,22065900,9765470,0.135495,19.9472,19.9472,0.110637,11459
419047203,69514684,682,489272,68686.3,40360200,10545700,0.140385,21.5539,21.554,0.0601237,11461
